fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,exchange_code,exchange_name,avg_vol_3month,avg_vol_10day,total_net_assets,day50_moving_average,day200_moving_average,week52_high_low_change,week52_high_low_change_perc,week52_high,week52_high_change,week52_high_change_perc,week52_low,week52_low_change,week52_low_change_perc,investment_strategy,fund_yield,inception_date,annual_holdings_turnover,investment_type,size_type,fund_annual_report_net_expense_ratio,category_annual_report_net_expense_ratio,asset_stocks,asset_bonds,fund_sector_basic_materials,fund_sector_communication_services,fund_sector_consumer_cyclical,fund_sector_consumer_defensive,fund_sector_energy,fund_sector_financial_services,fund_sector_healthcare,fund_sector_industrials,fund_sector_real_estate,fund_sector_technology,fund_sector_utilities,fund_price_book_ratio,fund_price_cashflow_ratio,fund_price_earning_ratio,fund_price_sales_ratio,fund_bond_maturity,fund_bond_duration,fund_bonds_us_government,fund_bonds_aaa,fund_bonds_aa,fund_bonds_a,fund_bonds_bbb,fund_bonds_bb,fund_bonds_b,fund_bonds_below_b,fund_bonds_others,top10_holdings,top10_holdings_total_assets,returns_as_of_date,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,years_up,years_down,fund_return_2020,fund_return_2019,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2015,fund_return_2014,fund_return_2013,fund_return_2012,fund_return_2011,fund_return_2010,fund_return_2009,fund_return_2008,fund_return_2007,fund_return_2006,fund_return_2005,fund_return_2004,fund_return_2003,fund_return_2002,fund_return_2001,fund_return_2000,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_5years,fund_beta_5years,fund_mean_annual_return_5years,fund_r_squared_5years,fund_stdev_5years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years,fund_alpha_10years,fund_beta_10years,fund_mean_annual_return_10years,fund_r_squared_10years,fund_stdev_10years,fund_sharpe_ratio_10years,fund_treynor_ratio_10years
GLIN,Amana Participation Fund Invest,Amana Participation Fund Investor Shares,India Equity,Amana,PCX,NYSEArca,9624,17100.0,75047096.0,42.223,38.698,13.92,0.31515,44.17,-3.73,-0.08445,30.25,10.19,0.33686,"The investment seeks capital preservation and current income, consistent with Islamic principles; capital preservation is its primary objective. Under normal conditions, the fund invests at least 80% of its total net assets in short and intermediate-term Islamic income-producing investments. It invests at least 65% of its assets in securities rated within the four highest grades (Aaa, Aa, A, Baa) by a nationally-recognized rating agency and may invest up to 35% in unrated and high-yield notes and certificates, which may be considered equivalent to ""junk bonds"". The fund is non-diversified.",0.002,2010-08-24,1.33,Growth,Large,0.0094,0.0084,0.9969,0.0,0.2241,0.0224,0.0948,0.0,0.0,0.0496,0.2782,0.0457,0.0,0.2774,0.0078,5.37,18.12,27.91,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Icd Sukuk Co 5%"": 0.0522, ""Tnb Global Ventrs Cap Berhad 3.24%"": 0.0433, ""Difc Sukuk 4.32%"": 0.0425, ""KSA Sukuk Limited 3.63%"": 0.0406, ""Stc Sukuk Company Limited 3.89%"": 0.0406, ""Tabreed Sukuk Spc 5.5%"": 0.0405, ""Oman Sovereign Sukuk S. A. O. C 4.4%"": 0.0388, ""Almarai Co 4.31%"": 0.0377, ""Dib Sukuk Co 2.95%"": 0.0366, ""Perusahaan Penerbit SBSN Indonesia III 4.55%"": 0.0365",0.4615,2021-06-30,0.1873,0.094,0.0283,0.0163,0.1413,0.0335,0.6118,-0.068,-0.0115,-0.0411,5.0,5.0,0.00803,-0.21641,-0.37997,0.66891,-0.04736,0.01122,0.43642,-0.28775,0.2532,-0.55656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.42,1.0,-0.08,30.0,32.05,-0.07,-7.73,-9.08,1.09,0.29,30.64,28.75,0.08,-2.03,-6.66,1.31,0.13,35.32,33.21,0.03,-3.5
GLL,AB Municipal Income Fund II - M,AB Municipal Income Fund II Massachusetts Portfolio Advisor Class,Trading--Inverse Commodities,AllianceBernstein,PCX,NYSEArca,79811,77200.0,32835246.0,33.358,33.993,10.13,0.256,39.57,-6.13,-0.15492,29.44,4.0,0.13587,The investment seeks to earn the highest level of current income exempt from both federal income tax and Commonwealth of Massachusetts personal income tax that is available without assuming what the Adviser considers to be undue risk. The fund invests at least 80% of its net assets in municipal securities that pay interest that is exempt from federal income tax. These securities may pay interest that is subject to the federal AMT for certain taxpayers. It normally invests at least 80% of its net assets in municipal securities of Massachusetts or municipal securities with interest that is otherwise exempt from Massachusetts state income tax.,0.0,2008-12-01,0.0,None,None,0.0132,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MYMXX (""AB Government Money Market AB""): 0.0382, ""MASSACHUSETTS ST WTR RES AUTH 5%"": 0.0306, ""MASSACHUSETTS ST 5%"": 0.0285, ""METROPOLITAN BOSTON TRAN PKG CORP MASS SYSTEMWIDE PKG REV 5%"": 0.0276, ""MASSACHUSETTS ST PORT AUTH REV 5%"": 0.0273, ""MASSACHUSETTS ST DEV FIN AGY REV 5%"": 0.0253",2.0006,2021-06-30,0.114,0.0,0.1472,0.0,-0.0844,0.0,-0.0247,-0.228,-0.131,-0.0973,3.0,9.0,-0.40711,-0.27646,0.03977,-0.22834,-0.2119,0.19902,-0.06639,0.62068,-0.22782,-0.27183,-0.45823,-0.45902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.35,0.03,-1.83,0.03,27.4,-0.85,-757.7,-11.99,-0.03,-0.91,0.02,25.12,-0.48,460.57,-8.95,-0.91,-0.38,14.36,33.45,-0.16,11.34
GLRY,American Balanced Fund Class F-,American Funds American Balanced Fund Class F-2,Small Growth,American Funds,PCX,NYSEArca,15037,2300.0,44673488.0,30.877,29.851,11.11,0.30973,35.87,-6.7429,-0.18798,24.76,4.3671,0.17638,"The investment seeks conservation of capital, current income and long-term growth of capital and income. The fund uses a balanced approach to invest in a broad range of securities, including common stocks and investment-grade bonds. It also invests in securities issued and guaranteed by the U.S. government and by federal agencies and instrumentalities. In addition, the fund may invest a portion of its assets in common stocks, most of which have a history of paying dividends, bonds and other securities of issuers domiciled outside the United States.",0.0,2020-12-07,0.0,Growth,Small,0.0085,0.0033,0.9919,0.0,0.0217,0.0537,0.2022,0.0659,0.0658,0.1106,0.1626,0.1582,0.0259,0.1334,0.0,4.33,10.16,19.34,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Cap Grp Cent Fd Ser Ii"": 0.051, MSFT (""Microsoft Corp""): 0.0399, AVGO (""Broadcom Inc""): 0.0249, UNH (""UnitedHealth Group Inc""): 0.0199, PM (""Philip Morris International Inc""): 0.0184, CMCSA (""Comcast Corp Class A""): 0.017, TSM. TW (""Taiwan Semiconductor Manufacturing Co Ltd ADR""): 0.017, FB (""Facebook Inc Class A""): 0.0151, HD (""The Home Depot Inc""): 0.0129, ""United States Treasury Notes 0.75%"": 0.0129",0.2538,2021-06-30,0.1298,0.0203,0.011,-0.0617,0.0223,-0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLTR,American Beacon Mid-Cap Value F,American Beacon Mid-Cap Value Fund C Class,None,American Beacon,PCX,NYSEArca,45272,50900.0,1020525568.0,89.496,94.291,19.19,0.18521,103.61,-16.82,-0.16234,84.42,2.37,0.02807,"The investment seeks long-term capital appreciation and current income. Under normal circumstances, at least 80% of the fund's net assets (plus the amount of any borrowings for investment purposes) are invested in equity securities of middle market capitalization U.S. companies. These companies have market capitalizations within the market capitalization range of the companies in the Russell Midcap© Index at the time of investment.",0.0,2010-10-22,0.0,None,None,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"GVSXX (""State Street Instl US Govt MMkt Slct""): 0.031, ""Future on S&P Mid 400 Jun21"": 0.0292, AXS (""Axis Capital Holdings Ltd""): 0.0226, PRG (""PROG Holdings Inc Ordinary Shares""): 0.0168, AIG (""American International Group Inc""): 0.0161, MGP (""MGM Growth Properties LLC A""): 0.0157, AER (""AerCap Holdings NV""): 0.0137, EIX (""Edison International""): 0.0133, FNF (""Fidelity National Financial Inc""): 0.0133, OLN (""Olin Corp""): 0.0133",0.9999,2021-06-30,-0.0253,0.0,-0.0625,0.0,0.0408,0.0,0.1547,0.1616,0.0795,0.0023,5.0,5.0,0.28475,0.20889,-0.02482,0.11216,0.11368,-0.15285,-0.06548,-0.28299,0.0573,-0.00709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.39,0.41,1.35,13.73,16.91,0.88,35.88,6.83,0.38,0.73,10.59,15.02,0.51,17.68,4.49,0.76,0.16,30.4,19.37,0.07,-0.72
GMOM,Alger Mid Cap Growth Fund Class,Alger Mid Cap Growth Fund Class B,World Allocation,Alger,BTS,BATS,5790,4960.0,63286556.0,30.396,29.783,6.565,0.20615,31.845,-2.8828,-0.09053,25.28,3.6822,0.14566,"The investment seeks long-term capital appreciation. Under normal circumstances, the fund invests at least 80% of its net assets in equity securities of companies that, at the time of purchase of the securities, have total market capitalization within the range of companies included in the Russell Midcap Growth Index or the S&P MidCap 400 Index, as reported by the indexes as of the most recent quarter-end. Both indexes are designed to track the performance of medium-capitalization stocks.",0.0138,2014-11-03,0.0,Value,Medium,0.0093,0.0058,0.0,0.0,0.1901,0.0247,0.195,0.0339,0.0831,0.1796,0.0408,0.1273,0.0233,0.0813,0.0209,1.75,7.26,13.05,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"DISCA (""Discovery Inc Class A""): 0.0201, DOCU (""DocuSign Inc""): 0.0201, HEI (""Heico Corp""): 0.0186, GENI. L (""Genius Sports Ltd""): 0.0177, VEEV (""Veeva Systems Inc Class A""): 0.0176, TECH (""Bio-Techne Corp""): 0.017, ""Warrant on Forte Biosciences Inc Ordinary Shares"": 0.0161, PINS (""Pinterest Inc""): 0.0158, ROKU (""Roku Inc Class A""): 0.0158, SQ (""Square Inc A""): 0.0158",0.8627,2021-06-30,0.1685,0.1012,-0.0105,0.0044,0.0602,0.0258,0.2963,0.0604,0.0728,0.0,4.0,2.0,0.02556,0.08019,-0.08724,0.20597,0.04308,-0.08514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.41,0.67,0.54,59.4,9.75,0.54,7.53,-0.36,0.72,0.61,57.46,8.7,0.71,8.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNR,Invesco Greater China Fund Cl Y,Invesco Greater China Fund Class Y,Natural Resources,Invesco,PCX,NYSEArca,167758,112770.0,2201807360.0,53.501,52.747,13.24,0.23187,57.1,-5.21,-0.09124,43.86,8.03,0.18308,"The investment seeks long-term growth of capital. The fund invests, under normal circumstances, at least 80% of its net assets (plus any borrowings for investment purposes) in equity or equity-related instruments issued by companies located or operating in Greater China and in other instruments that have economic characteristics similar to such securities. For this purpose, Greater China currently includes mainland China, Hong Kong, Macau and Taiwan. Up to 20% of the fund's net assets may be invested in equity and equity-related instruments issued by companies or entities not meeting the above requirement or debt securities of issuers worldwide.",0.0274,2010-09-13,0.16,Value,Large,0.004,0.0048,0.9975,0.0,0.4959,0.0,0.0806,0.0389,0.3596,0.0,0.0,0.0091,0.016,0.0,0.0,1.71,9.15,19.68,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"00700 (""Tencent Holdings Ltd""): 0.0945, 03690 (""Meituan""): 0.0544, 03331. HK (""Vinda International Holdings Ltd""): 0.0498, BABA (""Alibaba Group Holding Ltd ADR""): 0.0487, 01299. HK (""AIA Group Ltd""): 0.0471, 600276 (""Jiangsu Hengrui Medicine Co Ltd""): 0.044, 01066 (""Shandong Weigao Group Medical Polymer Co Ltd Class H""): 0.0433, 09988 (""Alibaba Group Holding Ltd Ordinary Shares""): 0.042, JD (""JD.com Inc ADR""): 0.0413, NTES (""NetEase Inc ADR""): 0.0411",0.3285,2021-06-30,0.1983,0.2041,-0.0249,0.0047,0.0676,0.0546,0.4775,0.0545,0.1066,0.0163,6.0,4.0,0.00235,0.1645,-0.13114,0.22162,0.31354,-0.24316,-0.10155,0.00961,0.06407,-0.15249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.66,1.26,0.69,85.9,24.38,0.29,3.35,-5.63,1.23,1.02,81.25,19.76,0.56,7.86,-9.34,1.26,0.31,77.68,20.1,0.15,0.85
GOAT,Alger Mid Cap Growth Fund Class,Alger Mid Cap Growth Fund Class Z,None,Alger,BTS,BATS,2525,4730.0,19546560.0,39.611,38.873,6.85,0.16707,41.0,-2.9907,-0.07294,34.15,3.8593,0.11301,"The investment seeks long-term capital appreciation. Under normal circumstances, the fund invests at least 80% of its net assets in equity securities of companies that, at the time of purchase of the securities, have total market capitalization within the range of companies included in the Russell Midcap Growth Index or the S&P MidCap 400 Index, as reported by the indexes as of the most recent quarter-end. Both indexes are designed to track the performance of medium-capitalization stocks.",0.0263,2018-10-30,0.68,Blend,Large,0.0052,0.0,0.9991,0.0,0.0368,0.0738,0.0945,0.0796,0.0116,0.1819,0.1698,0.1793,0.0,0.1727,0.0,3.89,17.84,23.03,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ROKU (""Roku Inc Class A""): 0.0245, PINS (""Pinterest Inc""): 0.024, FBRX (""Forte Biosciences Inc Ordinary Shares""): 0.0206, NTRA (""Natera Inc""): 0.0206, DOCU (""DocuSign Inc""): 0.02, UPWK (""Upwork Inc""): 0.0193, VEEV (""Veeva Systems Inc Class A""): 0.0192, HEI (""Heico Corp""): 0.0182, TECH (""Bio-Techne Corp""): 0.0178, ENPH (""Enphase Energy Inc""): 0.0161",0.2129,2021-06-30,0.1275,0.0,0.0005,0.0,0.0646,0.0,0.3396,0.0,0.0,0.0,2.0,0.0,0.16307,0.28002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOEX,American Century Mid Cap Value ,American Century Mid Cap Value Fund R6 Class,Equity Precious Metals,American Century Investments,PCX,NYSEArca,8393,5770.0,51993808.0,30.026,30.9,11.88,0.3128,37.98,-9.69,-0.25513,26.1,2.19,0.08391,"The investment seeks long-term capital growth; income is a secondary consideration. Under normal market conditions, the portfolio managers will invest at least 80% of the fund's net assets in medium size companies. The portfolio managers consider medium size companies to include those whose market capitalizations at the time of purchase are within the capitalization range of the Russell 3000© Index, excluding the largest 100 such companies.",0.0338,2010-11-03,0.1881,Blend,Small,0.0065,0.0057,0.9986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,6.46,14.36,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"ZBH (""Zimmer Biomet Holdings Inc""): 0.0261, NTRS (""Northern Trust Corp""): 0.0235, BK (""Bank of New York Mellon Corp""): 0.0229, EMR (""Emerson Electric Co""): 0.0206, CAG (""Conagra Brands Inc""): 0.0184, NVT. L (""nVent Electric PLC""): 0.0182, AAP (""Advance Auto Parts Inc""): 0.018, CB (""Chubb Ltd""): 0.0178, SON (""Sonoco Products Co""): 0.0178, PNW (""Pinnacle West Capital Corp""): 0.0176",0.4003,2021-06-30,-0.1137,0.882,-0.1298,-0.0594,0.0657,-0.1496,0.0032,0.1353,0.0303,-0.0766,4.0,6.0,0.34114,0.36414,-0.14101,0.11239,0.79939,-0.1226,-0.07102,-0.61905,-0.27536,-0.41933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,1.13,1.64,25.74,40.09,0.46,10.54,-7.64,1.13,0.75,21.91,35.27,0.22,1.83,-9.18,1.07,0.16,10.69,45.85,0.03,-7.76
GOVZ,"The Income Fund of America, Cla",American Funds The Income Fund of America Class A,Long Government,American Funds,BTS,BATS,34962,24550.0,399090208.0,21.651,20.908,5.394,0.22485,23.989,-0.459,-0.01913,18.595,4.935,0.26539,"The investment seeks to provide investors with current income while secondarily striving for capital growth. Normally the fund invests primarily in income-producing securities. These include equity securities, such as dividend-paying common stocks, and debt securities, such as interest-paying bonds. Generally at least 60% of the fund's assets will be invested in common stocks and other equity-type securities. The fund may also invest up to 30% of its assets in equity securities of issuers domiciled outside the United States, including issuers in developing countries.",0.0,2020-09-22,0.36,None,None,0.0015,0.0014,0.0,0.9989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.45,27.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Capital Group Central Cash Fund"": 0.0469, JPM (""JPMorgan Chase & Co""): 0.0283, PM (""Philip Morris International Inc""): 0.0249, AVGO (""Broadcom Inc""): 0.0218, MSFT (""Microsoft Corp""): 0.0182, PFE (""Pfizer Inc""): 0.0176, 2330. TW (""Taiwan Semiconductor Manufacturing Co Ltd""): 0.0171, CME (""CME Group Inc Class A""): 0.0157, CCI (""Crown Castle International Corp""): 0.0151, MO (""Altria Group Inc""): 0.0135",0.0393,2021-06-30,-0.1082,0.1454,0.0628,-0.0135,0.1019,-0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GQRE,"The Income Fund of America, Cla",American Funds The Income Fund of America Class F-2,Global Real Estate,American Funds,PCX,NYSEArca,7820,7030.0,375258944.0,69.83,66.611,16.78,0.23135,72.53,-2.1954,-0.03027,55.75,14.5846,0.26161,"The investment seeks to provide investors with current income while secondarily striving for capital growth. Normally the fund invests primarily in income-producing securities. These include equity securities, such as dividend-paying common stocks, and debt securities, such as interest-paying bonds. Generally at least 60% of the fund's assets will be invested in common stocks and other equity-type securities. The fund may also invest up to 30% of its assets in equity securities of issuers domiciled outside the United States, including issuers in developing countries.",0.0166,2013-11-05,0.56,Blend,Medium,0.0045,0.0053,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0036,0.9917,0.0,0.0,1.56,16.71,21.05,6.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Capital Group Central Cash Fund"": 0.0469, JPM (""JPMorgan Chase & Co""): 0.0283, PM (""Philip Morris International Inc""): 0.0249, AVGO (""Broadcom Inc""): 0.0218, MSFT (""Microsoft Corp""): 0.0182, PFE (""Pfizer Inc""): 0.0176, 2330. TW (""Taiwan Semiconductor Manufacturing Co Ltd""): 0.0171, CME (""CME Group Inc Class A""): 0.0157, CCI (""Crown Castle International Corp""): 0.0151, MO (""Altria Group Inc""): 0.0135",0.3443,2021-06-30,0.1651,0.0452,0.013,-0.0464,0.1048,-0.0647,0.321,0.0545,0.0489,0.0,5.0,2.0,-0.08835,0.21838,-0.09064,0.13424,0.03966,0.03499,0.1701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.96,0.91,0.58,76.7,18.64,0.31,4.53,-7.26,0.9,0.51,71.28,15.45,0.32,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREK,American Century Equity Growth ,American Century Equity Growth Fund I Class,Miscellaneous Region,American Century Investments,PCX,NYSEArca,52853,106490.0,161895744.0,27.706,27.722,7.27,0.24169,30.08,-3.55,-0.11802,22.81,3.72,0.16309,"The investment seeks long-term capital growth by investing in common stocks. The fund invests at least 80% of its net assets in equity securities. In selecting stocks for the fund, the portfolio managers use quantitative and qualitative management techniques in a multi-step process. First, the managers rank stocks, primarily large capitalization, publicly traded U.S. companies from most attractive to least attractive based on an objective set of measures. Second, the portfolio managers use a quantitative model to build a portfolio of stocks from the ranking that they believe will provide the optimal balance between risk and expected return.",0.0192,2011-12-07,0.2848,Value,Medium,0.0058,0.0053,0.9995,0.0,0.0371,0.156,0.1664,0.0199,0.0789,0.2832,0.0,0.1101,0.0304,0.0,0.1181,0.77,5.62,11.87,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"AAPL (""Apple Inc""): 0.0497, MSFT (""Microsoft Corp""): 0.0424, AMZN (""Amazon.com Inc""): 0.031, GOOGL (""Alphabet Inc A""): 0.0285, JNJ (""Johnson & Johnson""): 0.0137, AMAT (""Applied Materials Inc""): 0.0135, FB (""Facebook Inc A""): 0.0134, HD (""The Home Depot Inc""): 0.0131, ""S+p500 Emini Fut Jun21 Xcme 20210618"": 0.0127, AVGO (""Broadcom Inc""): 0.0125",0.6807,2021-06-30,0.0935,0.0,-0.0163,0.0,0.053,0.0,0.4381,0.0306,0.0756,0.0,4.0,5.0,-0.13257,0.49326,-0.299,0.32187,-0.01163,-0.39335,-0.38183,0.26926,0.23266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.04,1.6,0.67,69.76,33.74,0.2,0.84,-4.85,1.58,1.07,58.39,30.19,0.39,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRES,AlphaSimplex Managed Futures St,AlphaSimplex Managed Futures Strategy Fund Class A,Natural Resources,Natixis Funds,PCX,NYSEArca,7866,4750.0,21526258.0,29.858,29.051,6.24,0.19685,31.7,-2.7434,-0.08654,25.46,3.4966,0.13734,"The investment seeks to provide capital appreciation. The adviser expected that no more than 25% of the fund's total assets will be dedicated to initial and variation margin payments relating to the fund's derivative transactions. The advisor expects that under normal market conditions the fund will invest at least 75% of its total assets in money market and other short-term, high-quality securities. The fund will concentrate its investments in the financial services industry, which means it will normally invest at least 25% of its total assets in securities and other obligations of issuers in such industry.",0.0889,2009-10-27,0.0,Value,Large,0.0078,0.0048,0.0,0.0,0.4626,0.0032,0.0367,0.1621,0.1394,0.0097,0.0068,0.1098,0.0016,0.0068,0.0614,1.85,8.77,16.71,1.36,0.0,0.71,0.0,0.4055,0.0624,0.2379,0.2923,0.0019,0.0,0.0,0.0,"""Asg Managed Fut Strat Cayman Capstock Shares"": 0.0418, ""United States Treasury Bills 0.01%"": 0.0268, ""United States Treasury Bills 0%"": 0.0248",0.5198,2021-06-30,0.1164,0.2041,-0.0388,0.0047,0.0411,0.0546,0.2697,0.0544,0.0489,0.0127,6.0,5.0,0.04069,0.09288,-0.10234,0.13365,0.20179,-0.19377,-0.05129,-0.03282,0.0761,-0.09139,0.23925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.81,0.7,0.52,72.96,14.59,0.34,5.82,-4.86,0.68,0.47,66.3,12.16,0.36,5.6,-5.6,0.72,0.18,58.14,13.31,0.11,0.9
GRID,"American Mutual Fund, Class C S",American Funds American Mutual Fund Class C,Miscellaneous Sector,American Funds,NGM,NasdaqGM,71812,92530.0,425897824.0,99.617,93.486,31.62,0.29507,107.16,-7.07001,-0.06598,75.54,24.54999,0.32499,"The investment seeks current income, growth of capital and conservation of principal. The fund invests primarily in common stocks of companies that are likely to participate in the growth of the American economy and whose dividends appear to be sustainable. It invests primarily in securities of issuers domiciled in the United States and Canada. The fund may also invest in bonds and other debt securities, including those issued by the U.S. government and by federal agencies and instrumentalities.",0.0079,2009-11-16,0.53,Growth,Large,0.007,0.0067,0.9994,0.0,0.0002,0.0,0.1131,0.0,0.0,0.0,0.0,0.5169,0.0,0.2471,0.1226,3.66,16.45,33.74,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"MSFT (""Microsoft Corp""): 0.0429, CMCSA (""Comcast Corp Class A""): 0.0321, GILD (""Gilead Sciences Inc""): 0.0271, AMGN (""Amgen Inc""): 0.022, LIN. L (""Linde PLC""): 0.0217, HD (""The Home Depot Inc""): 0.0204, RTX (""Raytheon Technologies Corp""): 0.0202, UNH (""UnitedHealth Group Inc""): 0.0192, ABT (""Abbott Laboratories""): 0.019, JPM (""JPMorgan Chase & Co""): 0.0184",0.6066,2021-06-30,0.1482,0.0,0.0248,0.0,0.0771,0.0,0.7023,0.2512,0.2286,0.1213,6.0,5.0,0.48272,0.4211,-0.22303,0.28185,0.24763,-0.06901,-0.00725,0.24414,0.19707,-0.20882,-0.00228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58,1.28,2.15,84.98,24.92,0.98,18.76,4.68,1.24,1.89,78.94,20.28,1.06,17.42,1.14,1.17,1.11,77.67,18.63,0.68,9.88
GRN,AAMA Equity Fund,AAMA Equity Fund,None,AAMA,PCX,NYSEArca,64399,105591.0,61024408.0,25.06,21.47,19.837,0.62736,31.62,-0.82,-0.02593,11.783,19.017,1.61394,"The investment seeks to generate long term capital appreciation. The fund, under normal market circumstances, will invest at least 80% of its net assets (including the amount of any borrowings for investment purposes) in equity securities of any size capitalization. It invests primarily in common stocks and ETFs, but may also invest in other types of equity securities including, preferred stock, investments in foreign equity securities through U.S. stock exchange listed ADRs, REITs, or mutual funds that invest in the types of securities in which the fund would normally invest, and securities convertible into such securities.",0.0,2019-09-10,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"VOO (""Vanguard S&P 500 ETF""): 0.077, VUG (""Vanguard Growth ETF""): 0.071, ""United States Treasury Bills 0%"": 0.0699, IVV (""iShares Core S&P 500 ETF""): 0.068, SCHX (""Schwab US Large-Cap ETF©""): 0.0668, IUSG (""iShares Core S&P US Growth ETF""): 0.0536, AMAT (""Applied Materials Inc""): 0.0302, FCX (""Freeport-McMoRan Inc""): 0.0249, TMUS (""T-Mobile US Inc""): 0.0243, JNJ (""Johnson & Johnson""): 0.0189",0.0,2021-06-30,0.7613,0.0,0.1022,0.0,0.3468,0.0,1.0975,0.0,0.0,0.0,1.0,0.0,0.31878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
